case_number,source,prompt,evaluation_seed,coco_id
9967,coco-30k,Two trains near railway stops on the tracks. ,91380,387855
9968,coco-30k,a man standing on the side walk while holding a sign ,65349,474110
9969,coco-30k,Intersection and lights for Queen St and Bay St.,56803,490153
9970,coco-30k,Street with light traffic at intersection in large city.,77494,497158
9971,coco-30k,A bird that is standing on a concrete ledge over the water.,11462,537652
9972,coco-30k,A white and black bird perched on a wooden fence rail.,42798,382214
9973,coco-30k,A cake made to look like a colorful train ,2720,564418
9974,coco-30k,A couple riding on the back of a horse drawn carriage.,42711,313359
9975,coco-30k,A blue bird is sitting on a wooden post.,58790,191126
9976,coco-30k,A large bus on the side of the road.,61730,452321
9977,coco-30k,A herd of sheep walking across a snow covered field.,20785,509116
9978,coco-30k,Two giraffe standing next to each other on a field.,63313,440842
9979,coco-30k,A man gets a French kiss from a giraffe ,88533,208494
9980,coco-30k,A stop and street sign on the side of the street.,79161,107939
9981,coco-30k,A very tall building with a plaque hanging off of it's side.,76982,190323
9982,coco-30k,A stop sign and street sign encased in snow and ice.,68051,271240
9983,coco-30k,People loading onto a orange and silver metro bus.,26141,128372
9984,coco-30k,A group of people walking on a street by some cars.,35676,205676
9985,coco-30k,A small bird standing on a dock on the water.,85754,333294
9986,coco-30k,A street sign is posted near the two story building.,79539,419680
9987,coco-30k,Twin baby girls wearing hats eat ice cream.,54406,63521
9988,coco-30k,Red and white fire hydrant sitting on the side of a city street. ,26160,123053
9989,coco-30k,A grey discolored fire hydrants stands on the street.,48896,435703
9990,coco-30k,A green shuttle bus taking a turn on a mountain road.,75269,32648
9991,coco-30k,A street sign for Jack Kerouac (Adler) Road,95404,564317
9992,coco-30k,A trolley for Adventure World on its track,57838,532142
9993,coco-30k,Several sheep are standing beside a road while one walks on it.,51216,46962
9994,coco-30k,some cars on a wet street buildings and traffic lights,60782,168096
9995,coco-30k,a giraffe staring right into the camera ,6898,486046
9996,coco-30k,A row of several purple buses at a bus station,8008,46405
9997,coco-30k,A sign on small post in grass corner of residential parking lot.,12688,414133
9998,coco-30k,people at costume party dressed up in costumes,61270,398045
9999,coco-30k,two giraffes are walking around in their pen ,52123,30967
10000,coco-30k,A bus drives down the middle of a street. ,93348,78696
10001,coco-30k,a red and white sign and a tree water and a building,45042,416968
10002,coco-30k,"A left turn signal, stoplight and street sign are hanging on a pole.",8679,372471
10003,coco-30k,Train conductor standing on a moving train next to some trees.,59685,214468
10004,coco-30k,a silver and black train on its track and a red light,14360,370929
10005,coco-30k,People are walking in front of some shops.,22970,163314
10006,coco-30k,A train turning a corner around a hill outside of an ocean.,70024,161758
10007,coco-30k,"Two signs in front of a red brick building that say ""Tow Away No Stopping from 4pm to 6pm"" and ""No Parking from 2am to 6am"".",6491,222330
10008,coco-30k,A sign hanging from the side of a sushi restaurant.,1196,571834
10009,coco-30k,A small green train traveling down train tracks.,9134,166896
10010,coco-30k,A sign letting tourist know where to file elephant complaints.,31907,75426
10011,coco-30k,The cat is standing by the rocking chair in the living room. ,71853,15567
10012,coco-30k,A traffic light next to another set of traffic lights.,87618,434850
10013,coco-30k,A tolley car on a brick street in an urban area.,53400,279874
10014,coco-30k,A red double decker bus parked next to a group of women.,44446,571821
10015,coco-30k,A sign advertising a cosmetology school on the side of a road.,23195,315209
10016,coco-30k,a white yellow and blue train at an empty train station,58308,578093
10017,coco-30k,A couple of giraffe standing next to each other.,76214,272926
10018,coco-30k,A heard of sheep together in a wheat field. ,42802,430254
10019,coco-30k,A traffic light hanging off of a metal pole.,98138,580029
10020,coco-30k,A couple of trains traveling down train tracks.,41840,68036
10021,coco-30k,a cargo and train on the train tracks,78732,356456
10022,coco-30k,A long bus being loaded onto a large tow truck.,4021,271248
10023,coco-30k,A fire hydrant buried in a pile of snow next to a run down building.,86527,363654
10024,coco-30k,A group of people standing around a herd of animals in a city.,11331,369442
10025,coco-30k,A couple of giraffe standing next to each other on a field.,29767,263477
10026,coco-30k,A double sized transit bus followed by a double deck bus.,66943,331386
10027,coco-30k,A couple of giraffe standing next to each other.,43066,81390
10028,coco-30k,a couple of animals walking around a farm ,63840,221155
10029,coco-30k,a group of people getting off a parked bus,25021,263011
10030,coco-30k,A couple of red umbrellas sitting outside of a small brick building.,33136,264044
10031,coco-30k,A green and black train sitting on top of snow.,50582,337226
10032,coco-30k,A wooden bench sitting up against a wall.,63362,411082
10033,coco-30k,A yellow train parked at a train station next to a platform.,68755,172021
10034,coco-30k,A group of people riding horses on top of a sandy beach.,8195,434247
10035,coco-30k,A man standing in front of a mirror with a light around them.,59218,574063
10036,coco-30k,A white bus parked next to a lush green park.,74088,282940
10037,coco-30k,An oxen looking at a giraffe near some trees.,97221,464390
10038,coco-30k,A double decker bus parked next to a crowded sidewalk.,45367,343643
10039,coco-30k,A couple of double deck tour buses parked at a street side.,41314,160233
10040,coco-30k,A coliseum near a large set of buildings at a traffic light.,366,298699
10041,coco-30k,A fire hydrant covered up halfway with snow.,43983,356181
10042,coco-30k,cars riding down a lit street with a bright light post ,22718,315072
10043,coco-30k,A street sign sitting along side of train tracks.,59656,245051
10044,coco-30k,a man and a woman sitting on a bench in front of a building,12875,393075
10045,coco-30k,a very tall giraffe standing in the wilderness,5249,428858
10046,coco-30k,A street sign leaned over with the words High Gate Avenue on it.,50149,306477
10047,coco-30k,A woman feeding a giraffe from her hand in a zoo.,80367,574619
10048,coco-30k,A double deck tour bus riding through a street.,62993,444236
10049,coco-30k,A transit bus making a turn into a garage of some sort.,66811,382584
10050,coco-30k,A motorcycle is parked next to a building.,84282,315621
10051,coco-30k,A street sign covered in stickers under a breezeway.,61287,174902
10052,coco-30k,An asian city is all lit up in the dark.,16893,337042
10053,coco-30k,People stroller through the walkway near a giraffe.,20310,28885
10054,coco-30k,A woman sits on a bench with her hand up.,2544,381925
10055,coco-30k,A street sign that has various different directions.,38151,516775
10056,coco-30k,A red traffic light at a street side.,33071,304240
10057,coco-30k,A giraffe eats leaves through a wire fence.,53551,498857
10058,coco-30k,Several sheep are in a grassy field with trees.,16341,268838
10059,coco-30k,a white and black sea bird standing in very shallow water,70419,485687
10060,coco-30k,The large bird has a red face and black feathers.,81990,295150
10061,coco-30k,A sign calls out public parking beneath a street marker.,72128,566103
10062,coco-30k,"Park with grass, chair and bird on sidewalk.",95426,136008
10063,coco-30k,There is a television that is on and signs nearby. ,41264,260686
